Name	Genotype	Analyze
128514_20191215-probe0.nwb	NPY-Cre	1	
128515_20191216-probe0.nwb	NPY-Cre	0	
128516_20191215-probe0.nwb	NPY-Cre	1
147463_20191113-probe0.nwb	NPY-Cre	1
147465_20191113-probe0.nwb	NPY-Cre	1
152414_20191023-probe0.nwb	Vglut2-cre	1
152417_20191023-probe0.nwb	Vglut2-cre	1
152419_20191106-probe0.nwb	Vglut2-cre	1
156130_20191112-probe0.nwb	Vglut2-cre	1
156131_20191112-probe0.nwb	Vglut2-cre	1
216300_20200518-probe0.nwb	C57BL-6J	1
216301_20200521-probe0.nwb	C57BL-6J	1	
225757_20200519-probe0.nwb	C57BL-6J	1	
225758_20200519-probe0.nwb	C57BL-6J	1	
225759_20200521-probe0.nwb	C57BL-6J	1	
258412_20200915-probe0.nwb	Esr1-Cre-retro	1
258414_20200915-probe0.nwb	Esr1-Cre-retro	1
258416_20200921-probe0.nwb	Esr1-Cre-retro	1
258419_20200921-probe0.nwb	Esr1-Cre-retro	1
259112_20200914-probe0.nwb	Esr1-Cre-retro	1
268951_20200922-probe0.nwb	Esr1-Cre-antero	1			
273853_20200925-probe0.nwb	Esr1-Cre-antero	1			
273855_20200928-probe0.nwb	Esr1-Cre-antero	1			
273858_20200925-probe0.nwb	Esr1-Cre-antero	1			
268947_20200922-probe0.nwb	Esr1-Cre-antero	1